,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US"
3015,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",8818.0,MARCUM OIL CO INC,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.88
3016,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",46769.05,MIDLAND SERVICES INC,NATIONAL PARK SERVICE,2.88
3017,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL STORAGE BUILDINGS,3880.0,"SWELL CLEANING SERVICES, LLC",U.S. COAST GUARD,2.88
3018,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,15000.0,"LEAK DETECTION SERVICE, INC.",DEPT OF THE ARMY,2.88
3019,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF FUEL SUPPLY FACILITIES,295443.79,"H&O CONTRACTING, LLC",DEPT OF THE ARMY,2.88
3175,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,8446.24,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.96
3176,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",0.0,"USIBELLI COAL MINE, INC.",DEFENSE LOGISTICS AGENCY,2.96
3177,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"ENSPIRE ENERGY, LLCCONSTELLATION NEWENERGY - GAS DIVISION, LLCCOLONIAL ENERGY, INC.WGL ENERGY SERVICES, INC.",DEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCY,2.96
3178,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2220.0,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.96
3179,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,39110.48,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.96
3180,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",10954.53,"SUN COAST RESOURCES, INC.",U.S. FISH AND WILDLIFE SERVICE,2.96
3181,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",14831.55,SLATER OIL COMPANY,INDIAN HEALTH SERVICE,2.96
3182,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (ENGINEERING DEVELOPMENT),255850.0,"WHITSON CONTRACTING & MANAGEMENT, INC.",DEPT OF THE ARMY,2.96
3183,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,268492.35,"TIGER NATURAL GAS, INC.",NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,2.96
3184,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,547858.33,"TIGER NATURAL GAS, INC.",NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,2.96
3185,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,2057597.55,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.96
3218,2017M09,NATURAL GAS LIQUID EXTRACTION,FUEL OILS,9914.0,D & R PROPANE INC,INDIAN HEALTH SERVICE,2.96
3219,2017M09,NATURAL GAS LIQUID EXTRACTION,FUEL OILS,142400.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.96
3220,2017M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,500.0,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.96
3221,2017M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,19929.98,"PYRAMID TECHNOLOGIES, LLC",DEPT OF THE ARMY,2.96
3222,2017M09,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",11136.0,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.96
3223,2017M09,NATURAL GAS LIQUID EXTRACTION,MISCELLANEOUS SERVICE AND TRADE EQUIPMENT,53149.35,"HUDSON RIVER PARTNERS, I LP",DEPT OF THE ARMY,2.96
3301,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,CHEMICAL ANALYSIS INSTRUMENTS,13552.0,TRIPLE AAA SAFETY/TRAINING INC,FOREST SERVICE,2.96
3302,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,CONSTRUCTION OF OTHER UTILITIES,374285.33,"SNOW CONSULTING AND SERVICES, INC.",BUREAU OF LAND MANAGEMENT,2.96
3303,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"ENGINE AIR AND OIL FILTERS, STRAINERS, AND CLEANERS, NONAIRCRAFT",11881.37,WHITE-TUCKER COMPANY,U.S. COAST GUARD,2.96
3304,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- OIL SPILL RESPONSE,14862.34,MARINE POLLUTION CONTROL CORPORATION,DEPT OF THE NAVY,2.96
3305,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- WATER QUALITY SUPPORT,126727.35,"ANNA LISA LUNA CONSTRUCTION, INC.",DEPT OF THE AIR FORCE,2.96
3306,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"EQUIPMENT AND MATERIALS TESTING- FUELS, LUBRICANTS, OILS, AND WAXES",55162.14,"INTERSPEC, LLC",DEPT OF THE ARMY,2.96
3307,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"EQUIPMENT AND MATERIALS TESTING- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",4360.54,BIERMANN SERVICES INC,DEPT OF THE AIR FORCE,2.96
3308,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,9000.0,"PETRO 49, INC.",NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,2.96
3309,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11628.1,ST GEORGE DELTA FUEL,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,2.96
3310,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"GASOLINE RECIPROCATING ENGINES, EXCEPT AIRCRAFT; AND COMPONENTS",14758.0,HORIZON MARINE INC,U.S. FISH AND WILDLIFE SERVICE,2.96
3311,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,14452.58,PETER HEMPT GMBH,DEPT OF THE ARMY,2.96
3312,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,675000.0,"DRILLING INFO, INC.","ENERGY, DEPARTMENT OF",2.96
3313,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,LUBRICATION AND FUEL DISPENSING EQUIPMENT,2641.16,"QB FUELING, LLC",FOREST SERVICE,2.96
3314,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",1000.0,BUSTER'S BUTANE GAS CO INC,DEPT OF THE NAVY,2.96
3315,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",50000.0,"PRISM DESIGN & CONSTRUCTION, LLC",FEDERAL AVIATION ADMINISTRATION,2.96
3316,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,30674425.72,"WESTON SOLUTIONS, INC.",DEFENSE LOGISTICS AGENCY,2.96
3317,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),74906.38,D.J. GROUP INC.,BUREAU OF LAND MANAGEMENT,2.96
3318,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- SURFACE MINING RECLAMATION (NON-CONSTRUCTION),9242.5,GWALTNEY DRILLING INC,U.S. FISH AND WILDLIFE SERVICE,2.96
3319,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,6780.87,EDILCOS ITALIA SRL,DEPT OF THE ARMY,2.96
3320,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),270867.0,"WYODAK ENERGY SERVICES, LLC",BUREAU OF LAND MANAGEMENT,2.96
3321,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SMALL CRAFT,14833.6,"CLOVIS MARINE, INC.",U.S. FISH AND WILDLIFE SERVICE,2.96
3322,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,0.0,"WEATHERFORD LABORATORIES, INC.",US GEOLOGICAL SURVEY,2.96
3323,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,11351.75,"WEATHERFORD LABORATORIES, INC.",US GEOLOGICAL SURVEY,2.96
3324,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: OTHER,114900.0,"CRYSTAL CLEAR MAINTENANCE, INC.",BUREAU OF LAND MANAGEMENT,2.96
3335,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,8153.95,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.86
3336,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",14031800.0,"USIBELLI COAL MINE, INC.",DEPT OF THE AIR FORCE,2.86
3337,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",16081662.8,"USIBELLI COAL MINE, INC.",DEPT OF THE ARMY,2.86
3338,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1098.65,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.86
3339,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,35095.68,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.86
3340,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,104010.7,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.86
3341,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,127192.66,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.86
3342,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,144150.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.86
3343,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,152767.28,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.86
3344,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,153762.77,"DIRECT ENERGY BUSINESS MARKETING, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.86
3345,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,157729.57,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.86
3346,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,194459.51,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.86
3347,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,267632.62,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.86
3348,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,557956.04,"TALEN ENERGY MARKETING, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.86
3349,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,113666.08,"TIGER NATURAL GAS, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.86
3350,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,106642.03,"TIGER NATURAL GAS, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.86
3351,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,128750.31,"DIRECT ENERGY BUSINESS MARKETING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.86
3352,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,155423.44,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.86
3353,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,295339.33,"SAGE ENERGY TRADING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.86
3354,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,328804.82,"TIGER NATURAL GAS, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.86
3355,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,368285.66,"CENTERPOINT ENERGY SERVICES, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.86
3356,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,450000.0,"DIRECT ENERGY BUSINESS MARKETING, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.86
3357,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,660000.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.86
3358,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- OTHER,1272764.72,"DIRECT ENERGY BUSINESS MARKETING, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.86
3365,2017M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,120000.0,AMEREN CORPORATION,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.86
3366,2017M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,947.58,ENERGAS SPA,DEPT OF THE ARMY,2.86
3367,2017M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2988.2,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.86
3368,2017M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4593.59,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.86
3369,2017M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,5000.0,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.86
3370,2017M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,19299.08,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.86
3371,2017M10,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",6350.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.86
3372,2017M10,NATURAL GAS LIQUID EXTRACTION,NATURAL RESOURCES/CONSERVATION- OTHER,3734.24,"AKINS, LLC",DEPT OF THE AIR FORCE,2.86
3460,2017M10,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,COMMERCIAL AND INDUSTRIAL GAS CYLINDERS,142845.56,0,DEPT OF THE AIR FORCE,2.86
3461,2017M10,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,RYUSEKI CORPORATION,DEPT OF THE AIR FORCE,2.86
3462,2017M10,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,57911602.69,"WESTON SOLUTIONS, INC.",DEFENSE LOGISTICS AGENCY,2.86
3463,2017M10,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,20327.35,"APR ENERGY USA, LLC",DEPT OF THE NAVY,2.86
3486,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,8194.82,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.99
3487,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,8461.43,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.99
3488,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1099.44,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.99
3489,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,35922.02,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.99
3490,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,353193.76,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.99
3491,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,506115.09,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.99
3492,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,6967.1,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.99
3493,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,7425.92,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.99
3494,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,11329.32,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.99
3495,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,0.0,BP ENERGY COMPANY,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.99
3496,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,9962.96,"TIGER NATURAL GAS, INC.",DEPT OF THE ARMY,2.99
3497,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,243210.6,"DIRECT ENERGY BUSINESS MARKETING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.99
3515,2017M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,16500.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,2.99
3516,2017M11,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",3439.89,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.99
3592,2017M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,EQUIPMENT AND MATERIALS TESTING- CHEMICALS AND CHEMICAL PRODUCTS,2830.0,SOUTHERN CROSS CORP.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.99
3593,2017M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,9111.0,MARCUM OIL CO INC,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.99
3594,2017M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,23324.25,"BLOUCH, GEORGE H. FUEL SERVICE, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.99
3595,2017M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,22079.99,"BOWMAN GAS AND OIL COMPANY, INC.",NATIONAL PARK SERVICE,2.99
3596,2017M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- MEDICAL/HEALTH,26000.0,TAYLOR SAFETY CONSULTING,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2.99
3625,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,5739.6,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.76
3626,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,8688.95,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.76
3627,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1098.02,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.76
3628,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,13722.8,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.76
3629,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,34077.9,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.76
3630,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,58736.02,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.76
3631,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,82481.52,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.76
3632,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,137308.16,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.76
3633,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,171751.36,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.76
3634,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,306623.69,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.76
3635,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,337950.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.76
3636,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,415949.28,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.76
3637,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,535799.09,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.76
3638,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,549930.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.76
3639,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,60780.9,"INTERCONN RESOURCES, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.76
3640,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,71022.98,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",RAILROAD RETIREMENT BOARD,2.76
3641,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,581533.69,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.76
3674,2017M12,NATURAL GAS EXTRACTION,PETROLEUM PRODUCTION AND DISTRIBUTION EQUIPMENT,8400.0,"ENERGY PARTNERS, LLC",FOREST SERVICE,2.76
3675,2017M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.76
3676,2017M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1159.93,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.76
3677,2017M12,NATURAL GAS LIQUID EXTRACTION,MISCELLANEOUS OFFICE MACHINES,2282.82,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.76
3678,2017M12,NATURAL GAS LIQUID EXTRACTION,MISCELLANEOUS OFFICE MACHINES,2352.02,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.76
3743,2017M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSPECTION- SERVICE AND TRADE EQUIPMENT,4990.0,"UPCHURCH SERVICES, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.76
3744,2017M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",8281.5,TANKNOLOGY INC.,"VETERANS AFFAIRS, DEPARTMENT OF",2.76
3745,2017M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,8099428.65,"WESTON SOLUTIONS, INC.",DEFENSE LOGISTICS AGENCY,2.76
3746,2017M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,19022143.8,TETRA TECH-MAYTAG AIRCRAFT CORPORATION JOINT VENTURE,DEFENSE LOGISTICS AGENCY,2.76
