total_obligated_amount,award_base_action_date,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,funding_sub_agency_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_code,product_or_service_code,product_or_service_code_description,naics_code,naics_description
34585.73,5/22/2016,5/22/2016,2/2/2017 0:00,2/2/2017 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1EB,CONSTRUCTION OF MAINTENANCE BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
15558.75,4/16/2020,4/16/2020,12/10/2020 0:00,12/10/2020 0:00,U.S. FISH AND WILDLIFE SERVICE,FLAT CREEK CONSTRUCTION LLC,VALENTINE,CHERRY,NE,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
219420,8/3/2021,8/3/2021,11/2/2021 0:00,11/2/2021 0:00,U.S. FISH AND WILDLIFE SERVICE,"STRUCTURAL HARDWARE AND SUPPLY, INC.",SAN JOSE,SANTA CLARA,CA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
5571.6,3/15/2019,3/15/2019,3/16/2020 0:00,3/16/2020 0:00,DEFENSE LOGISTICS AGENCY,"GENERAL DYNAMICS-OTS, INC.",WILLISTON,CHITTENDEN,VT,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
0,9/30/2014,9/30/2014,,,DEPT OF THE AIR FORCE,"ROCKY MOUNTAIN AGGREGATE, LLC",PLYMOUTH,BOX ELDER,UT,F011,NATURAL RESOURCES/CONSERVATION- SURFACE MINING RECLAMATION (NON-CONSTRUCTION),212321,CONSTRUCTION SAND AND GRAVEL MINING
0,3/29/2021,3/30/2021,4/29/2021 0:00,4/29/2021 0:00,DEPT OF THE ARMY,BIT DIRECT INC,TAMPA,HILLSBOROUGH,FL,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212313,CRUSHED AND BROKEN GRANITE MINING AND QUARRYING
39948.07,3/19/2018,3/19/2018,12/31/2022 0:00,12/31/2022 0:00,FOREST SERVICE,"APPALACHIAN AGGREGATES, LLC",DUNBAR,KANAWHA,WV,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
584.8,2/15/2019,2/15/2019,3/18/2019 0:00,3/18/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5330,PACKING AND GASKET MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
1046.33,5/14/2020,5/14/2020,6/15/2020 0:00,6/15/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
6775.19,8/27/2020,8/27/2020,12/3/2021 0:00,12/3/2021 0:00,US GEOLOGICAL SURVEY,"MARK J. TRAUT WELLS, INC",WAITE PARK,STEARNS,MN,F015,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
298.68,6/25/2018,6/25/2018,9/10/2018 0:00,9/10/2018 0:00,DEFENSE LOGISTICS AGENCY,"CARLISLE, KAREN",MIDLOTHIAN,ELLIS,TX,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
0,9/19/2016,9/19/2016,,,DEPT OF THE ARMY,"PYRAMID TECHNOLOGIES, LLC",PROVIDENCE FORGE,NEW KENT,VA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
285800,6/9/2021,6/9/2021,10/15/2021 0:00,10/15/2021 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,"COWDEN, INC.",BELLINGHAM,WHATCOM,WA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
8166323.82,2/9/2016,2/9/2016,2/8/2021 0:00,2/8/2021 0:00,DEFENSE LOGISTICS AGENCY,HAWTHORNE SERVICES INC.,NORTH CHARLESTON,CHARLESTON,SC,Z1NA,MAINTENANCE OF FUEL SUPPLY FACILITIES,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
243000,11/9/2016,10/14/2016,11/30/2016 0:00,11/30/2016 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,BRUCH AND BRUCH CONSTRUCTION INC,PORT ANGELES,CLALLAM,WA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
0,1/1/2016,1/1/2016,2/1/2016 0:00,2/1/2016 0:00,DEPT OF THE AIR FORCE,DOU'A AL-KUWAIT,HAWALLI,,,3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT,212321,CONSTRUCTION SAND AND GRAVEL MINING
5388.66,3/15/2019,3/15/2019,4/15/2019 0:00,4/15/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
25246.5,2/6/2019,2/7/2019,4/16/2019 0:00,4/16/2019 0:00,MARITIME ADMINISTRATION,AARCO ENVIRONMENTAL SERVICES CORP.,LINDENHURST,SUFFOLK,NY,H342,INSPECTION- FIRE FIGHTING/RESCUE/SAFETY EQUIPMENT; ENVIRON PROTECT EQUIPMENT/MATLS,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
706.15,12/22/2016,12/22/2016,12/26/2016 0:00,12/26/2016 0:00,DEPT OF THE AIR FORCE,DOU'A AL-KUWAIT,HAWALLI,,,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212399,ALL OTHER NONMETALLIC MINERAL MINING
3752.42,4/1/2016,4/1/2016,6/8/2016 0:00,6/8/2016 0:00,DEFENSE LOGISTICS AGENCY,BDS SUPPLY,GREAT FALLS,CASCADE,MT,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
3924.9,10/26/2020,10/26/2020,12/21/2020 0:00,12/21/2020 0:00,DEFENSE LOGISTICS AGENCY,PINES QUALITY INC.,FORT LAUDERDALE,BROWARD,FL,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
22383.85,9/15/2017,9/15/2017,10/14/2017 0:00,10/14/2017 0:00,DEPT OF THE ARMY,DA SUNG IND,SEOUL,,,3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT,212321,CONSTRUCTION SAND AND GRAVEL MINING
79475,11/6/2015,11/6/2015,11/20/2015 0:00,11/20/2015 0:00,DEPT OF THE NAVY,"ROGERS GROUP, INC.",BLOOMINGTON,MONROE,IN,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
9929.38,9/29/2016,9/29/2016,11/30/2016 0:00,11/30/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Z2FA,REPAIR OR ALTERATION OF FAMILY HOUSING FACILITIES,212321,CONSTRUCTION SAND AND GRAVEL MINING
95795.53,9/10/2018,9/10/2018,10/15/2018 0:00,10/15/2018 0:00,U.S. FISH AND WILDLIFE SERVICE,AMERICAN CLASSIC CONSTRUCTION INC.,CHATSWORTH,LOS ANGELES,CA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
400000,4/1/2016,4/1/2016,3/31/2017 0:00,3/31/2017 0:00,U.S. COAST GUARD,"WGL ENERGY SERVICES, INC.",HERNDON,FAIRFAX,VA,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
24767.6,9/21/2020,10/1/2020,9/30/2023 0:00,9/30/2025 0:00,U.S. FISH AND WILDLIFE SERVICE,"CALHOUN QUARRY, INCORPORATED",BATCHTOWN,CALHOUN,IL,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
492.32,1/16/2020,1/16/2020,2/18/2020 0:00,2/18/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
19929.98,9/22/2017,9/22/2017,10/31/2017 0:00,10/31/2017 0:00,DEPT OF THE ARMY,"PYRAMID TECHNOLOGIES, LLC",PROVIDENCE FORGE,NEW KENT,VA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
142000,9/30/2019,9/30/2019,2/28/2020 0:00,2/28/2020 0:00,DEPT OF THE AIR FORCE,"ROBOTICS FABRICATION, INC.",PANAMA CITY,BAY,FL,P500,SALVAGE- DEMOLITION OF STRUCTURES/FACILITIES (OTHER THAN BUILDINGS),212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
11305,9/14/2017,9/14/2017,2/28/2018 0:00,2/28/2018 0:00,NATIONAL PARK SERVICE,"CRYSTAL CREEK AGGREGATE, INC.",REDDING,SHASTA,CA,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212392,PHOSPHATE ROCK MINING
370.55,11/15/2018,11/15/2018,12/17/2018 0:00,12/17/2018 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
174406.72,8/21/2020,6/1/2020,2/28/2021 0:00,3/31/2021 0:00,U.S. FISH AND WILDLIFE SERVICE,"ECODYNAMICS, INC.",MONTE VISTA,RIO GRANDE,CO,Z1NE,MAINTENANCE OF WATER SUPPLY FACILITIES,213111,DRILLING OIL AND GAS WELLS
674.55,11/26/2018,11/26/2018,12/6/2018 0:00,12/6/2018 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
832712,8/4/2020,8/5/2020,10/1/2021 0:00,10/1/2021 0:00,NATIONAL PARK SERVICE,SS EXCAVATION LLC,AMMON,BONNEVILLE,ID,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
11943.59,9/21/2018,9/21/2018,9/28/2018 0:00,9/28/2018 0:00,DEPT OF THE ARMY,BULIM CONSTRUCTION,PYEONGTAEK,,,3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT,212321,CONSTRUCTION SAND AND GRAVEL MINING
20943.78,3/21/2017,3/21/2017,3/21/2018 0:00,3/21/2018 0:00,FOREST SERVICE,"FRAZIER QUARRY, INCORPORATED, THE",HARRISONBURG,HARRISONBURG (CITY),VA,9620,"MINERALS, NATURAL AND SYNTHETIC",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
0,10/22/2020,4/1/2021,,,DEFENSE LOGISTICS AGENCY,"COLONIAL ENERGY, INC.",FAIRFAX,FAIRFAX,VA,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
23959.86,8/19/2020,8/19/2020,12/30/2022 0:00,12/31/2023 0:00,OFFICE OF ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
241.02,7/16/2019,7/16/2019,12/2/2019 0:00,12/2/2019 0:00,DEFENSE LOGISTICS AGENCY,LARKOS PACKING AND DISTRIBUTION INC.,MORRISVILLE,BUCKS,PA,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
617459.25,9/25/2014,9/25/2014,12/30/2016 0:00,12/30/2016 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,"GREAT WEST DRILLING, INC",FONTANA,SAN BERNARDINO,CA,3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",213111,DRILLING OIL AND GAS WELLS
11824.35,3/30/2020,3/30/2020,10/26/2020 0:00,10/26/2020 0:00,DEFENSE LOGISTICS AGENCY,"HYDRAULICS INTERNATIONAL, INC.",CHATSWORTH,LOS ANGELES,CA,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
123930,8/5/2021,7/30/2021,8/11/2021 0:00,8/11/2021 0:00,DEPT OF THE ARMY,"TARPAN CONSTRUCTION, LLC",COTTONPORT,AVOYELLES,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
0,9/14/2016,9/14/2016,,,DEPT OF THE ARMY,VAN SLOTEN ENTERPRISES INC,SAULT SAINTE MARIE,CHIPPEWA,MI,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
249000,9/4/2019,9/4/2019,8/15/2020 0:00,8/15/2020 0:00,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,SCHLUMBERGER TECHNOLOGY CORPORATION,SUGAR LAND,FORT BEND,TX,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
708,8/4/2016,8/4/2016,4/3/2017 0:00,4/3/2017 0:00,DEFENSE LOGISTICS AGENCY,"ARKWIN INDUSTRIES, INC.",WESTBURY,NASSAU,NY,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
739297,7/9/2021,7/9/2021,5/31/2022 0:00,5/31/2022 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,ECOLOGY MIR GROUP LLC,FAIRFAX,FAIRFAX (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
51574.8,9/22/2017,9/22/2017,2/15/2018 0:00,2/15/2018 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1FA,CONSTRUCTION OF FAMILY HOUSING FACILITIES,212321,CONSTRUCTION SAND AND GRAVEL MINING
14308.29,9/1/2017,9/1/2017,11/30/2017 0:00,11/30/2017 0:00,BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION,"EVOLVE CONSTRUCTION SERVICES,LLC",NIXA,CHRISTIAN,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
17679.76,9/12/2012,9/12/2012,10/31/2012 0:00,8/21/2016 0:00,BUREAU OF LAND MANAGEMENT,HARNEY ROCK & PAVING CO.,BURNS,HARNEY,OR,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
102.5,1/6/2017,1/6/2017,1/17/2017 0:00,1/17/2017 0:00,DEFENSE LOGISTICS AGENCY,INDIANA AIRCRAFT HARDWARE INC,FORTVILLE,HANCOCK,IN,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
1336059.57,9/23/2021,9/24/2021,10/24/2022 0:00,10/24/2022 0:00,BUREAU OF LAND MANAGEMENT,"A-PLUS WELL SERVICE, INC.",FARMINGTON,SAN JUAN,NM,Y1QA,CONSTRUCTION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
85,8/3/2018,8/3/2018,8/10/2018 0:00,8/10/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
14076.55,7/31/2014,7/31/2014,8/8/2014 0:00,8/8/2014 0:00,DEPT OF THE ARMY,PRIMAGAS ENERGIE GMBH & CO. KG,KREFELD,,,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
0,9/22/2014,9/22/2014,11/6/2014 0:00,11/6/2014 0:00,DEFENSE LOGISTICS AGENCY,PIONEER MACHINE & TOOLING CO,SECANE,DELAWARE,PA,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
0,5/21/2018,5/21/2018,6/29/2018 0:00,6/29/2018 0:00,U.S. FISH AND WILDLIFE SERVICE,"STRUCTURAL HARDWARE AND SUPPLY, INC.",SAN JOSE,,CA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
6350,7/16/2018,7/13/2018,9/16/2018 0:00,9/16/2018 0:00,CENTERS FOR DISEASE CONTROL AND PREVENTION,"STRATA EQUIPMENT, LLC",ATLANTA,FULTON,GA,K038,"MODIFICATION OF EQUIPMENT- CONSTRUCTION, MINING, EXCAVATING, AND HIGHWAY MAINTENANCE EQUIPMENT",213113,SUPPORT ACTIVITIES FOR COAL MINING
2072.4,3/28/2017,3/28/2017,6/26/2017 0:00,6/26/2017 0:00,DEFENSE LOGISTICS AGENCY,G.T. MACHINING & FABRICATING LTD,NAPANEE,,,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
13485.69,7/25/2018,7/25/2018,8/20/2018 0:00,8/20/2018 0:00,U.S. FISH AND WILDLIFE SERVICE,BSE PERFORMANCE LLC,PEORIA,MARICOPA,AZ,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
163635,1/6/2017,1/6/2017,10/26/2017 0:00,10/26/2017 0:00,FOREST SERVICE,JAMES DEAN CONSTRUCTION INCORPORATED,WHITE SALMON,KLICKITAT,WA,F018,NATURAL RESOURCES/CONSERVATION- OTHER FOREST/RANGE IMPROVEMENTS (NON-CONSTRUCTION),212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
1939.8,5/16/2018,5/16/2018,11/2/2018 0:00,11/2/2018 0:00,DEFENSE LOGISTICS AGENCY,"J.G.B. ENTERPRISES, INC.",LIVERPOOL,ONONDAGA,NY,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
39613.21,3/10/2020,3/10/2020,9/9/2020 0:00,9/9/2020 0:00,DEPT OF THE ARMY,"HEESONG GEOTEK CO., LTD.",SONGNAM,,,H299,EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS)
274965.9,12/23/2014,12/23/2014,9/30/2015 0:00,9/30/2015 0:00,NATIONAL PARK SERVICE,EVANS CONSTRUCTION COMPANY,JACKSON,TETON,WY,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
276,6/25/2019,7/24/2019,12/11/2019 0:00,12/11/2019 0:00,DEFENSE LOGISTICS AGENCY,RIGHT FIND INC.,RIVERSIDE,RIVERSIDE,CA,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
14508.43,10/23/2018,10/23/2018,8/19/2019 0:00,8/19/2019 0:00,DEFENSE LOGISTICS AGENCY,"MITCHELL AIRCRAFT EXPENDABLES, L.L.C.",CARY,MCHENRY,IL,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
14765.27,9/12/2019,9/12/2019,9/29/2019 0:00,11/19/2019 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
1274.72,12/12/2019,12/12/2019,1/13/2020 0:00,1/13/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
452.53,6/3/2019,6/3/2019,1/29/2020 0:00,1/29/2020 0:00,DEFENSE LOGISTICS AGENCY,KLX INC.,O FALLON,ST. CHARLES,MO,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
930.15,5/8/2017,5/8/2017,11/6/2017 0:00,11/6/2017 0:00,DEFENSE LOGISTICS AGENCY,BASIC RUBBER AND PLASTICS CO.,WALLED LAKE,OAKLAND,MI,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
17915.76,7/14/2017,7/14/2017,7/31/2017 0:00,7/31/2017 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
813.67,12/3/2020,12/3/2020,7/27/2021 0:00,7/27/2021 0:00,DEFENSE LOGISTICS AGENCY,"KAMPI COMPONENTS CO., INC.",FAIRLESS HILLS,BUCKS,PA,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
0,3/6/2017,3/4/2017,,,"STATE, DEPARTMENT OF",FOREIGN AWARDEES (UNDISCLOSED),WASHINGTON,DISTRICT OF COLUMBIA,DC,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
167703,9/25/2021,9/24/2021,1/31/2022 0:00,1/31/2022 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,"CROWLEY HOLDINGS, LLC",NEW ORLEANS,ORLEANS,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
54250,8/28/2019,8/28/2019,10/31/2019 0:00,10/31/2019 0:00,U.S. FISH AND WILDLIFE SERVICE,"SHAWNEE STONE, LLC",SALEM,MARION,IL,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
32000,6/14/2017,6/14/2017,6/15/2017 0:00,6/15/2017 0:00,DEPT OF THE ARMY,"LAKE TOW, INC.",THOMSON,MCDUFFIE,GA,4235,HAZARDOUS MATERIAL SPILL CONTAINMENT AND CLEAN-UP EQUIPMENT AND MATERIAL,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
86208.83,9/13/2019,10/1/2019,5/11/2020 0:00,5/11/2020 0:00,DEPT OF THE ARMY,"CENTERPOINT ENERGY SERVICES, INC.",HOUSTON,HARRIS,TX,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
8916.57,12/9/2015,12/9/2015,12/9/2015 0:00,12/31/2015 0:00,NATIONAL PARK SERVICE,GOVERNMENT MLO SUPPLIES USA INC,CHEVY CHASE,MONTGOMERY,MD,6810,CHEMICALS,212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING
139.93,1/10/2017,1/10/2017,4/17/2017 0:00,4/17/2017 0:00,DEFENSE LOGISTICS AGENCY,LYNN ELECTRONICS CORP.,IVYLAND,BUCKS,PA,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
500,1/21/2016,1/21/2016,4/20/2016 0:00,4/20/2016 0:00,DEFENSE LOGISTICS AGENCY,"THALES DEFENSE & SECURITY, INC",CLARKSBURG,MONTGOMERY,MD,5355,KNOBS AND POINTERS,213113,SUPPORT ACTIVITIES FOR COAL MINING
2974.14,11/5/2015,11/5/2015,3/3/2016 0:00,3/3/2016 0:00,DEFENSE LOGISTICS AGENCY,C CROUTHAMEL & CO INC,CHALFONT,BUCKS,PA,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
98,4/7/2020,4/7/2020,4/17/2020 0:00,4/17/2020 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
161.28,4/5/2021,4/5/2021,4/19/2021 0:00,4/19/2021 0:00,DEFENSE LOGISTICS AGENCY,"AUGUSTA ENGINE PARTS, INC.",AUGUSTA,RICHMOND,GA,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
0,2/14/2020,2/14/2020,3/16/2020 0:00,3/16/2020 0:00,NATIONAL PARK SERVICE,"REDHAMMER GENERAL CONSTRUCTION, LLC",SYRACUSE,ONONDAGA,NY,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
48000,9/29/2016,9/29/2016,3/31/2017 0:00,3/31/2017 0:00,DEPT OF THE ARMY,PATRICK ENVIRONMENTAL GROUP,ATHENS,CLARKE,GA,3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",212321,CONSTRUCTION SAND AND GRAVEL MINING
50025,9/20/2020,9/23/2020,3/31/2023 0:00,9/30/2024 0:00,NATIONAL PARK SERVICE,"PENN KEYSTONE COAL COMPANY, LLC",CLAYSBURG,BLAIR,PA,9130,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",212111,BITUMINOUS COAL AND LIGNITE SURFACE MINING
6951.38,4/21/2021,4/21/2021,5/21/2021 0:00,5/21/2021 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
4245,8/6/2020,8/6/2020,9/7/2020 0:00,9/7/2020 0:00,DEPT OF THE ARMY,"NEW ENTERPRISE STONE & LIME CO., INC.",NEW ENTERPRISE,BEDFORD,PA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
